,features,1_fold_column_mean,1_fold_column_std,2_fold_column_mean,2_fold_column_std,3_fold_column_mean,3_fold_column_std,4_fold_column_mean,4_fold_column_std,5_fold_column_mean,5_fold_column_std
0,heartrate__abs_energy,7742704.748268928,2751731.4266166072,7540324.180964192,2808572.9691666015,7463521.33131967,2926183.4948672918,7320807.254625747,2733210.6267223596,7329521.261064967,2598259.704597966
1,heartrate__absolute_sum_of_changes,987.6261141347962,903.2652497120881,906.2667125940667,937.3532857594042,849.6926748992441,911.5784098155926,976.1289771395301,985.129868160569,929.4993681761771,859.6994595535265
2,"heartrate__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.5126424600823705,0.27294541426229957,0.5511464903847562,0.2823549164093851,0.5490336709536585,0.2909058328908697,0.5306026042836871,0.27926547254294976,0.5338633819160666,0.2796585415767246
3,"heartrate__agg_autocorrelation__f_agg_""median""__maxlag_40",0.47823307279899757,0.30117544147243047,0.5180559573597872,0.3141674189164131,0.5196209074331677,0.32067811814707187,0.500201346410432,0.3067209530418486,0.5016496005469522,0.309725247977084
4,"heartrate__agg_autocorrelation__f_agg_""var""__maxlag_40",0.033498885405684645,0.031303523294291744,0.031209799929551616,0.03228380753175304,0.02970680930081389,0.030860712901913164,0.030931212350349728,0.029810802925530573,0.03287061459150249,0.031482939969790305
5,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",138.08392463590428,28.929886560429583,135.57470228118305,28.640036024172478,134.14287365288504,29.077130159551174,133.7480193994786,29.185363868687784,134.7053182297716,26.495261208236936
6,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",133.25328011192087,27.88002456975216,130.9664491529004,28.014907587724455,129.77394628292092,28.614528962772575,128.95541557992797,28.26339949346028,129.9838325635293,25.86411537091197
7,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",128.80274148191629,27.285941226574394,126.81359230539279,27.969719445621177,125.89861190259091,28.65291638433069,124.67281998867443,27.921132389832383,125.75069267183314,25.80567320355877
8,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",22.65085384076909,36.36428233327526,23.665965082364927,47.468169636013,22.356631303946344,47.92081193996225,24.64365300981021,48.54371426582424,21.753493427405004,34.66276165387875
9,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",145.4044989950248,29.95276630137778,142.9530107386314,29.804150885129925,141.066322905673,30.140767600661004,141.26777184877116,30.372750006582066,142.11707577214344,27.519785345042106
10,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",133.08770524986653,27.538720090000066,130.87417800235718,27.722952817809436,129.6839871253035,28.436069925618245,128.8641367388313,28.001325899565174,129.77990006458793,25.549040858413886
11,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",123.2972307146199,26.973066382384754,121.91232924928654,27.968008728730837,121.2936087820234,28.803974892737525,119.75808085951469,27.630063073929175,120.61657759217542,26.11996777522507
12,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",53.32021875960451,73.2154582771163,57.743513420977266,99.34275454005244,51.505255161675024,93.48307161313583,58.61532466093446,99.0651219510748,54.16380215080918,78.02566270369209
13,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",136.2355614935862,28.50712721867597,133.78291057493743,28.361626163141207,132.4407383516423,28.865007204466067,131.91522014059547,28.802828019843844,132.88025692513642,26.207002420331044
14,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",133.25857554847644,27.918437882619678,130.96613894688224,28.0495680878682,129.7711673369409,28.637416921697593,128.95554664946323,28.29851523067633,129.99062138834543,25.900649136834215
15,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",130.37687073927074,27.493785479273043,128.2810611711577,27.993023794533762,127.25201077211608,28.63516536266835,126.14792319531206,28.02002997813322,127.26281248775547,25.811758607354424
16,"heartrate__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",14.80235633471479,24.667259790392706,15.173301782956619,31.696307521946714,14.418572420203649,32.5324403769568,15.9943548621099,32.8430351138721,13.694346596076247,22.315633163659857
17,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",-0.0021312682954631114,0.613118970389496,0.03175518506665228,0.6586799997981349,-0.001147689096620433,0.662095026861561,0.02007477991195549,0.6321480581852436,-0.012129168413694706,0.639649169693509
18,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",-0.016208035988811327,0.631790374304093,0.02180737672234737,0.6804577378256735,-0.005576301088727364,0.6824783131816681,0.007275981665739095,0.6548206228314046,-0.02491876641681696,0.6607626311382697
19,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",-0.02859145069053475,0.6302965972560268,0.014447282786287778,0.6824120885941807,-0.012654154674647134,0.683422257983782,-0.00339488065420768,0.6556328827151577,-0.03173596882021603,0.6587029205517105
20,"heartrate__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",0.019251594319326402,0.36873818674193765,0.039077142289697546,0.38321607485443454,0.02082955787167956,0.36868261972863065,0.00768377218698704,0.36947057639535613,0.019633646334802014,0.35800655257498104
